Slide_No,State,District,Latitude,Longitude,MaterialInvolved,Movement Type,History,Year,occurrence
KRL/KKD/58A/3/2018/33,Kerala,Kozhikode,11.3065,76.0442,Debris,Flow,15th August 2018,2018.0,1
KRL/KKD/58A/07/2018/34,Kerala,Kozhikode,11.338,76.0904,Debris,slide,15th August 2018,2018.0,1
KRL/KKD/58A/3/2018/35,Kerala,Kozhikode,11.32639,76.08017,Rock cum debris,slide,15th August 2018,2018.0,1
KRL/ KKD/58A/3/2018/36,Kerala,Kozhikode,11.30941,76.04953,Debris,Flow,15th August 2018,2018.0,1
KRL/KKD/58A/3/2018/37,Kerala,Kozhikode,11.30005,76.05552,Debris,Flow,15th August 2018,2018.0,1
KRL/KKD/ 58A/3/2018/38,Kerala,Kozhikode,11.30807,76.0495,Debris,Flow,16th August 2018,2018.0,1
KRL/KKD/58A/03/19/39,Kerala,Kozhikode,11.495,76.22874,Rock,slide,15th August 2018,2018.0,1
KRL/KKD/58A/03/19/40,Kerala,Kozhikode,11.20964,76.31578,Debris.,Flow,15th August 2018,2018.0,1
KRL/MLP/49M/15/14/2018/1,Kerala,Malappuram,11.516113,75.898147,Rock Boulder,Rock fall,14th August 2018,2018.0,1
KRL/MLP/49M/15/14/2018/2,Kerala,Malappuram,11.519563,75.880112,Debris,Flow,14th August 2018,2018.0,1
KRL/MLP/49 M/15/2018/4,Kerala,Malappuram,11.526232,75.865128,Rock cum Debris,Debris flow,15th June 2018,2018.0,1
KRL/MLP/49M/15/14/2018/5,Kerala,Malappuram,11.529662,75.866947,Soil,Slide,14th July2018,2018.0,1
KRL/MLP/58A/3/2018/06,Kerala,Malappuram,11.339678,76.10913,Soil,Slide,15th June 2018,2018.0,1
KRL/MLP/58A/03/2018/7,Kerala,Malappuram,11.342338,76.10781,Debris,Slide,14th August 2018,2018.0,1
KRL/MLP/ 58A/7 /2018/8,Kerala,Malappuram,11.289187,76.339887,Debris.,Slide,14th August 2018,2018.0,1
KRL/MLP/ 58A/7/2018/9,Kerala,Malappuram,11.288482,76.310463,Soil,Flow,14th August 2018,2018.0,1
KRL/MLP/ 58A/7/2018/10,Kerala,Malappuram,11.288413,76.310572,Soil,Slide,15th August 2018,2018.0,1
KRL/MLP/ 58A/4/2018/11,Kerala,Malappuram,11.224051,76.04485,Debris,Slide,14th August 2018,2018.0,1
KRL/MLP/ 58A/3/2018/12,Kerala,Malappuram,11.26441,76.09172,Debris,Slide,April 2018,2018.0,1
KRL/MLP/ 58A/3/2018/13,Kerala,Malappuram,11.26189,76.09288,Debris,Flow,June 2018,2018.0,1
KRL/MLP/58A03/2018/14,Kerala,Malappuram,11.26886,76.11234,Debris,Flow,June 2018,2018.0,1
KRL/MLP/ 58A/3/2018/15,Kerala,Malappuram,11.26259,76.11232,Debris,Flow,June 2018,2018.0,1
KRL/MLP/ 58A/3/2018/16,Kerala,Malappuram,11.27518,76.11256,Debris,Flow,15th August 2018,2018.0,1
KRL/MLP/ 58A/3/2018/17,Kerala,Malappuram,11.2775,76.1259,Debris,slide,15th August 2018,2018.0,1
KRL/MLP/ 58A/4/2018/18,Kerala,Malappuram,11.23508,76.15302,Soil,Flow,15th August 2018,2018.0,1
KRL/MLP/ 58A/3/2018/19,Kerala,Malappuram,11.24485,76.14259,Debris,Flow,June 2018,2018.0,1
KRL/MLP/ 58A/4/2018/20,Kerala,Malappuram,11.24378,76.15763,Soil,Slide,15th August 2018,2018.0,1
KRL/MLP/ 58A/4/2018/21,Kerala,Malappuram,11.24368,76.14389,Debris,Flow,15th August 2018,2018.0,1
KRL/MP/58A/3/2018/22,Kerala,Malappuram,11.2721,76.2083,Soil,slide,15th August 2018,2018.0,1
KRL/KKD/58A/3/2018/23,Kerala,Malappuram,11.33282,76.13535,Soil,Subsidence,15th August 2018,2018.0,1
KRL/MP/58A/3/2019/24,Kerala,Malappuram,11.33822,76.13039,Rock boulders,Falls,15th August 2018,2018.0,1
KRL/MP/58A/3/2019/25,Kerala,Malappuram,11.3405,76.12572,Debris,slide,15th August 2018,2018.0,1
KRL/MP/58A/3/2019/26,Kerala,Malappuram,11.34251,76.10291,Debris,Flow,15th August 2018,2018.0,1
KRL/MP/58A/03/19/29,Kerala,Malappuram,11.40917,76.36485,Rock,slide,15th August 2018,2018.0,1
KRL/MP/58A/07/19/35,Kerala,Malappuram,11.4507,76.26667,Soil,slide,15th August 2018,2018.0,1
KRL/MP/58A/07/19/36,Kerala,Malappuram,11.4534,76.28154,Rock,slide,15th August 2018,2018.0,1
KRL/KKD/58A/3/2019/37,Kerala,Malappuram,11.46581,76.22296,Debris.,slide,15th August 2018,2018.0,1
KRL/MP/58A/08/19/38,Kerala,Malappuram,11.20819,76.32187,Debris.,Flow,15th August 2018,2018.0,1
KRL/MP/58A/08/19/39,Kerala,Malappuram,11.13272,76.36924,River bank erosion,Erosion,15th August 2018,2018.0,1
KRL/KKD/58A/08/19/40,Kerala,Malappuram,11.13371,76.37339,River bank erosion,Erosion,15th August 2018,2018.0,1
KRL/MP/58A/08/19/41,Kerala,Malappuram,11.12718,76.39171,Debris.,Flow,15th August 2018,2018.0,1
KRL/MP/58A/08/19/42,Kerala,Malappuram,11.12718,76.39178,Debris.,Flow,15th August 2018,2018.0,1
KRL/MP/58A/08/19/43,Kerala,Malappuram,11.11541,76.36941,Debris.,Flow,15th August 2018,2018.0,1
KRL/MP/58A/08/19/44,Kerala,Malappuram,11.11745,76.3711,Debris.,Flow,15th August 2018,2018.0,1
KRL/MP/58A/08/19/45,Kerala,Malappuram,11.11827,76.37232,Debris.,Flow,15th August 2018,2018.0,1
KRL/MP/58A/08/19/46,Kerala,Malappuram,11.10757,76.35521,Soil cum debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/02,Kerala,Idukki,9.874,77.004,Debris,Flow,15th August 2018 (04:30pm),2018.0,1
KER/IDK/58G01/2018/06,Kerala,Idukki,9.88237,77.018017,Debris,Slide,17th August 2018,2018.0,1
KER/IDK/58G01/2018/07,Kerala,Idukki,9.887115,77.016697,Debris,Flow,17th August 2018,2018.0,1
KER/IDK/58G01/2018/08,Kerala,Idukki,9.879064,77.014596,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/09,Kerala,Idukki,9.876643,77.020452,Debris,Slide,16th August 2018,2018.0,1
KER/IDK/58G01/2018/12,Kerala,Idukki,9.870095,77.037467,Debris,Slide,17th August 2018,2018.0,1
KER/IDK/58G01/2018/13,Kerala,Idukki,9.870133,77.038671,Debris,Flow,15th and 17th of August 2018,2018.0,1
KER/IDK/58G01/2018/14,Kerala,Idukki,9.874421,77.033611,Debris,Flow,16th August 2018,2018.0,1
KER/IDK/58G01/2018/15,Kerala,Idukki,9.874631,77.033247,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/16,Kerala,Idukki,9.864482,77.044935,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/19A,Kerala,Idukki,9.894024,76.987366,Soil,Slide,16th August 2018,2018.0,1
KER/IDK/58C13/2018/20,Kerala,Idukki,9.900295,76.998298,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/25,Kerala,Idukki,9.890515,76.975357,Debris,Flow,16th August 2018,2018.0,1
KER/IDK/58C13/2018/29,Kerala,Idukki,9.878081,76.986869,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/33,Kerala,Idukki,9.883083,76.980153,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/35,Kerala,Idukki,9.874025,76.995523,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/39,Kerala,Idukki,9.874626,76.999437,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/40,Kerala,Idukki,9.855313,77.033448,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/42,Kerala,Idukki,9.880924,77.008856,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/43,Kerala,Idukki,9.879905,77.008549,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/45,Kerala,Idukki,9.871903,77.019521,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/46,Kerala,Idukki,9.867693,77.029203,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/51,Kerala,Idukki,9.830635,77.026142,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/52,Kerala,Idukki,9.832216,77.026261,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/53,Kerala,Idukki,9.828299,77.029682,Debris,Slide,2013 & 15th August 2018,2013.0,1
KER/IDK/58G01/2018/55,Kerala,Idukki,9.82085,77.040337,Soil,Subsidence,15th August 2018,2018.0,1
KER/IDK/58G01/2018/56,Kerala,Idukki,9.823565,77.044282,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/57,Kerala,Idukki,9.822187,77.043581,Debris,Flow,16th August 2018,2018.0,1
KER/IDK/58G01/2018/58,Kerala,Idukki,9.8248,77.050815,Debris,Flow,16th August 2018,2018.0,1
KER/IDK/58G01/2018/59,Kerala,Idukki,9.824954,77.041802,Earth,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/63,Kerala,Idukki,9.856356,77.007184,Earth,Slide / Slump,15th August 2018,2018.0,1
KER/IDK/58G01/2018/64,Kerala,Idukki,9.858107,77.0123,Earth,Slide,16th August 2018,2018.0,1
KER/IDK/58G01/2018/66,Kerala,Idukki,9.859315,77.003593,Debris,Flow,16th August 2018,2018.0,1
KER/IDK/58G01/2018/67,Kerala,Idukki,9.849512,77.02252,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/68,Kerala,Idukki,9.850975,77.021253,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/69,Kerala,Idukki,9.851952,77.022672,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/74,Kerala,Idukki,9.85099,77.023313,Soil,Soil Piping,15th August 2018,2018.0,1
KER/IDK/58G01/2018/75,Kerala,Idukki,9.839444,77.031355,Earth,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/76,Kerala,Idukki,9.839217,77.019395,Debris,Slide,14th August 2018,2018.0,1
KER/IDK/58G01/2018/77,Kerala,Idukki,9.840943,77.014994,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/78,Kerala,Idukki,9.841081,77.014566,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/79,Kerala,Idukki,9.83962,77.012461,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/80,Kerala,Idukki,9.836103,77.014044,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/81,Kerala,Idukki,9.837255,77.008892,Debris,Slide,2016 & 15th August 2018,2016.0,1
KER/IDK/58G01/2018/82,Kerala,Idukki,9.837036,77.009191,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/83,Kerala,Idukki,9.835163,77.012616,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/87,Kerala,Idukki,9.84609,76.98542,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/88,Kerala,Idukki,9.84732,76.989793,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/91,Kerala,Idukki,9.846422,76.990435,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/92,Kerala,Idukki,9.842516,76.990594,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/93,Kerala,Idukki,9.841728,76.990835,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/94,Kerala,Idukki,9.841728,76.990835,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/95,Kerala,Idukki,9.841678,76.99171,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/98,Kerala,Idukki,9.852413,76.980052,Debris,Flow,14th August 2018,2018.0,1
KER/IDK/58C13/2018/99,Kerala,Idukki,9.852625,76.97926,Debris,Flow,14th August 2018,2018.0,1
KER/IDK/58C13/2018/100,Kerala,Idukki,9.851942,76.980177,Debris,Slide,2012 & 14th August 2018,2012.0,1
KER/IDK/58C13/2018/101,Kerala,Idukki,9.853193,76.974898,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/102,Kerala,Idukki,9.85949,76.995536,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/103,Kerala,Idukki,9.849973,77.001303,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/105,Kerala,Idukki,9.847692,77.004835,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/117,Kerala,Idukki,9.960692,77.026119,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/118,Kerala,Idukki,9.959239,77.02714,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/123,Kerala,Idukki,9.960794,77.013664,Debris,Slide,16th August 2018,2018.0,1
KER/IDK/58G01/2018/126,Kerala,Idukki,9.970703,77.01636,Debris,Flow,16th August 2018,2018.0,1
KER/IDK/58G01/2018/127,Kerala,Idukki,9.969774,77.017604,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/128,Kerala,Idukki,9.969643,77.016737,Debris,Slide,16th August 2018,2018.0,1
KER/IDK/58G01/2018/129,Kerala,Idukki,9.969036,77.01553,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/130,Kerala,Idukki,9.979385,77.002216,Debris,Slide,16th August 2018,2018.0,1
KER/IDK/58G01/2018/131,Kerala,Idukki,9.97661,77.002208,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/132,Kerala,Idukki,9.958445,77.007559,Debris,Slide,"15th, 16th & 17th August 2018",2018.0,1
KER/IDK/58G01/2018/133,Kerala,Idukki,9.960135,77.01211,Soil,Subsidence,15th August 2018,2018.0,1
KER/IDK/58G01/2018/134,Kerala,Idukki,9.959125,77.008603,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/135,Kerala,Idukki,9.958677,77.002764,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/136,Kerala,Idukki,9.96418,77.000783,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/137,Kerala,Idukki,9.964251,77.002479,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/138,Kerala,Idukki,9.966953,77.017696,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/141,Kerala,Idukki,9.963278,76.998981,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/143,Kerala,Idukki,9.95311,77.0108,Debris,Slide,15th & 16th August 2018,2018.0,1
KER/IDK/58G01/2018/144,Kerala,Idukki,9.952695,77.010752,Debris,Slide,16th August 2018,2018.0,1
KER/IDK/58C13/2018/145,Kerala,Idukki,9.954549,76.998518,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/146,Kerala,Idukki,9.952086,76.996141,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/147,Kerala,Idukki,9.927763,77.015368,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/148,Kerala,Idukki,9.926759,77.01703,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/149,Kerala,Idukki,9.924577,77.016068,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/151,Kerala,Idukki,9.922225,77.022481,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/158,Kerala,Idukki,9.939339,77.007014,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/160,Kerala,Idukki,9.939441,77.014008,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/161,Kerala,Idukki,9.932985,77.015938,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/166,Kerala,Idukki,9.925577,76.99857,Soil,Subsidence,15th August 2018,2018.0,1
KER/IDK/58G01/2018/167,Kerala,Idukki,9.930746,77.004874,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/168,Kerala,Idukki,9.924974,77.017757,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/169,Kerala,Idukki,9.939805,76.988043,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/170,Kerala,Idukki,9.941878,76.990454,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/171,Kerala,Idukki,9.953416,77.016984,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/178,Kerala,Idukki,9.93087,77.053113,Debris,Slide,8th August 2018,2018.0,1
KER/IDK/58G01/2018/185,Kerala,Idukki,9.925242,77.05987,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/186,Kerala,Idukki,9.924656,77.058153,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/187,Kerala,Idukki,9.92413,77.06433,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/188,Kerala,Idukki,9.912851,77.085948,Debris,Slide,8th August 2018,2018.0,1
KER/IDK/58G01/2018/189,Kerala,Idukki,9.909487,77.084732,Debris,Flow,8th August 2018,2018.0,1
KER/IDK/58G01/2018/190,Kerala,Idukki,9.909126,77.087629,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/191,Kerala,Idukki,9.933862,77.066279,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/194,Kerala,Idukki,9.937718,77.069749,Debris,Slide,13th August 2018,2018.0,1
KER/IDK/58G01/2018/195,Kerala,Idukki,9.935033,77.069851,Debris,Flow,17th August 2018,2018.0,1
KER/IDK/58G01/2018/203,Kerala,Idukki,9.932156,77.095032,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/204,Kerala,Idukki,9.92608,77.096689,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/205,Kerala,Idukki,9.925708,77.099886,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/206,Kerala,Idukki,9.930948,77.095854,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/207,Kerala,Idukki,9.929579,77.093757,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/208,Kerala,Idukki,9.931424,77.073147,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/209,Kerala,Idukki,9.960222,77.054272,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/210,Kerala,Idukki,9.97148,77.056422,Debris,Slide,16th August 2018,2018.0,1
KER/IDK/58G01/2018/211,Kerala,Idukki,9.970993,77.054832,Debris,Flow,8th August 2018,2018.0,1
KER/IDK/58G01/2018/212,Kerala,Idukki,9.970723,77.054675,Debris,Flow,9th August 2018,2018.0,1
KER/IDK/58G01/2018/213,Kerala,Idukki,9.960236,77.050507,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/214,Kerala,Idukki,9.919278,77.077173,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/216,Kerala,Idukki,9.927947,77.020912,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/217,Kerala,Idukki,9.92833,77.029375,Debris,Flow,17th August 2018,2018.0,1
KER/IDK/58G01/2018/222,Kerala,Idukki,9.896788,77.103485,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/223,Kerala,Idukki,9.905716,77.095274,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/224,Kerala,Idukki,9.906504,77.093419,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/225,Kerala,Idukki,9.907028,77.092101,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/227,Kerala,Idukki,9.974254,77.040455,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/234,Kerala,Idukki,9.939633,76.985024,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58C13/2018/235,Kerala,Idukki,9.931993,76.994424,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/236,Kerala,Idukki,9.925141,77.009453,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/237,Kerala,Idukki,9.925409,77.007038,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/238,Kerala,Idukki,9.96003,77.017435,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/239,Kerala,Idukki,9.975106,77.029673,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/240,Kerala,Idukki,9.973343,77.031185,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58G01/2018/241,Kerala,Idukki,9.971985,77.030018,Debris,Slide,15th August 2018,2018.0,1
KER/IDK/58C13/2018/242,Kerala,Idukki,9.958954,76.991952,Debris,Flow,15th August 2018,2018.0,1
KER/IDK/58G01/2018/246,Kerala,Idukki,9.974,77.0429,Debris,Flow,15th August 2018,2018.0,1
KER/MPM/58A3/2019/01,Kerala,Malappuram,11.407647,76.23719,Debris,Slide,8th August 2019 (20:30 hrs),2019.0,1
KE/MAL/58A03/2019/03,Kerala,Malappuram,11.40642222,76.2381,Debris,Subsidence,8th August 2019,2019.0,1
KE/MAL/58A03/2019/04,Kerala,Malappuram,11.40527778,76.23916667,Debris,Flow,8th August 2019 (17:00 hrs),2019.0,1
KE/MAL/58A03/2019/05,Kerala,Malappuram,11.40661111,76.23575,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A03/2019/06,Kerala,Malappuram,11.41255833,76.23224444,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A07/2019/07,Kerala,Malappuram,11.38247222,76.26022222,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A07/2019/08,Kerala,Malappuram,11.40305556,76.27113889,Debris,Flow,10th August 2019,2019.0,1
KE/MAL/58A07/2019/09,Kerala,Malappuram,11.39822222,76.27069444,Debris,Flow,8th August 2019 (Said to be occurred,2019.0,1
KE/MAL/58A03/2019/10,Kerala,Malappuram,11.3995,76.22813889,Debris,Flow,8th August 2019 (19:00 hrs),2019.0,1
KE/MAL/58A03/2019/11,Kerala,Malappuram,11.39922222,76.22897222,Debris,Flow,8th August 2019 (19:00 hrs),2019.0,1
KE/MAL/58A03/2019/12,Kerala,Malappuram,11.39988889,76.22441667,Debris,Flow,8th August 2019,2019.0,1
KE/MAL/58A03/2019/13,Kerala,Malappuram,11.39833333,76.22322222,Debris,Flow,8th August 2019 (15:30 hrs),2019.0,1
KE/MAL/58A03/2019/14,Kerala,Malappuram,11.39958333,76.22133333,Debris,Flow,8th August 2019 (15:30 hrs),2019.0,1
KE/MAL/58A03/2019/18,Kerala,Malappuram,11.39822222,76.21375,Debris,Flow,8th August 2019,2019.0,1
KE/MAL/58A03/2019/23,Kerala,Malappuram,11.39441667,76.22272222,Debris,Flow,8th August 2019 (17:30 hrs),2019.0,1
KE/MAL/58A03/2019/24,Kerala,Malappuram,11.39508333,76.22288889,Debris,Slide,8th August 2019 & in August 2018,2019.0,1
KE/MAL/58A03/2019/26,Kerala,Malappuram,11.39875833,76.23934167,Debris,Slide,8th August 2019 & in August 2018,2019.0,1
KE/MAL/58A07/2019/01,Kerala,Malappuram,11.37872222,76.34755556,Debris,Slide,8th August 2019 (at about 16:30 hrs),2019.0,1
KE/MAL/58A07/2019/04,Kerala,Malappuram,11.38680556,76.35002778,Debris,Slide,8th August 2019 (at about 17:30 hrs),2019.0,1
KE/MAL/58A07/2019/05,Kerala,Malappuram,11.38772222,76.34736111,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A07/2019/07,Kerala,Malappuram,11.401456,76.370989,Debris,Flow,8th August 2019 (15:00 hrs.),2019.0,1
KE/MAL/58A07/2019/08,Kerala,Malappuram,11.395894,76.369239,Debris,Flow,8th August 2019 (15:00 hrs.),2019.0,1
KE/MAL/58A07/2019/19,Kerala,Malappuram,11.385361,76.351787,Debris,Slide,8th August 2019 (09:30 hrs.),2019.0,1
KE/MAL/58A07/2019/20,Kerala,Malappuram,11.385326,76.351494,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A07/2019/21,Kerala,Malappuram,11.386062,76.352615,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A03/2019/01,Kerala,Malappuram,11.367974,76.208254,Debris,Slide,8th August 2019,2019.0,1
KE/MAL/58A03/2019/04,Kerala,Malappuram,11.385613,76.208732,Debris,Flow,8th August 2019,2019.0,1
KL/PKD/58B10/2024/PDLS/01,Kerala,Palakkad,10.625965,76.539455,Debris,Slide,15 august 2018; reactivated on,2018.0,1
KL/PKD/58B10/2024/PDLS/02,Kerala,Palakkad,10.62691667,76.53938889,Debris,Slide,29-07-2024,2024.0,1
KL/PKD/58B10/2024/PDLS/8,Kerala,Palakkad,10.51919444,76.62902778,Debris,Slide,"Monsoon, 2024",2024.0,1
KL/PKD/58B10/2024/PDLS/9,Kerala,Palakkad,10.51991667,76.62911111,Debris,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/10,Kerala,Idukki,10.14427778,77.09836111,Debris,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/11,Kerala,Idukki,10.15158333,77.07905556,Debris,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/12,Kerala,Idukki,10.03688889,77.12791667,Rock,Fall,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/13,Kerala,Idukki,10.05255556,77.10883333,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/14,Kerala,Idukki,10.06438889,77.10233333,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/15,Kerala,Idukki,10.07113889,77.09872222,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/16,Kerala,Idukki,10.08263889,77.07358333,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/17,Kerala,Idukki,10.08291667,77.07269444,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/18,Kerala,Idukki,10.08322222,77.07130556,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/19,Kerala,Idukki,10.08408333,77.07844444,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58F04/2024/PDLS/20,Kerala,Idukki,10.05486111,77.05227778,Debris,Slide,30-07-2024,2024.0,1
KL/IDK/58G01/2024/PDLS/21,Kerala,Idukki,9.982194444,77.03261111,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58G01/2024/PDLS/22,Kerala,Idukki,9.980333333,77.03036111,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58C13/2024/PDLS/23,Kerala,Idukki,9.945308333,76.97888611,Debris,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58C13/2024/PDLS/24,Kerala,Idukki,9.809305556,76.85438889,Soil,Slide,"Monsoon, 2024",2024.0,1
KL/IDK/58C13/2024/PDLS/25,Kerala,Idukki,9.8165,76.86197222,Debris,Slide,Monsoon 2024,2024.0,1
KRL/KTM/PDS/2024/01,Kerala,Kottayam,9.691,76.8251,Debris,Flow,2024,2024.0,1
KRL/KTM/PDS/2024/02,Kerala,Kottayam,9.7475,76.75638889,Debris,Flow,2013 adjacent slide,2013.0,1
KER/TVM/58D10/2024/1,Kerala,Thiruvananthapuram,8.722097222,76.71483056,Debris,Slide,Reactivated (June 2024),2024.0,1
